image_name,object_name,index,bbx_x_16,bbx_y_16,bbx_w_16,bbx_h_16,imsize_x_16,imsize_y_16,imsize_x_22,imsize_y_22,bbx_x_22,bbx_y_22,bbx_w_22,bbx_h_22,fx_x_16_5,fx_y_16_5,fx_x_22_5,fx_y_22_5,fx_x_16_10,fx_y_16_10,fx_x_22_10,fx_y_22_10,fx_x_16_15,fx_y_16_15,fx_x_22_15,fx_y_22_15,fx_x_16_20,fx_y_16_20,fx_x_22_20,fx_y_22_20
000000001268.jpg,cell phone,8,529,181,30,19,640,427,880,587,727,249,41,26,464.41841001494225,198.17132397168004,637.5565492076763,273.0512930767493,384.8368200298845,206.34264794336008,528.1130984153525,284.10258615349863,305.25523004482676,214.51397191504012,418.6696476230288,295.1538792302479,225.673640059769,222.68529588672016,309.2261968307051,306.2051723069972
000000009769.jpg,fire hydrant,2,552,259,12,21,640,480,880,660,759,356,16,29,478.5873522800032,259.3236689752945,657.8138539037557,356.6438965019885,399.1747045600063,249.647337950589,548.6277078075115,343.28779300397696,319.76205684000945,239.9710069258835,439.4415617112672,329.9316895059654,240.34940912001264,230.294675901178,330.2554156150229,316.57558600795386
000000011197.jpg,bicycle,1,554,162,48,29,640,427,880,587,762,223,66,40,498.81019090994937,187.35667804779797,686.0750844383579,258.3415374030482,419.6203818198988,198.7133560955959,577.1501688767157,273.6830748060964,340.43057272984817,210.07003414339388,468.2252533150736,289.0246122091446,261.2407636397976,221.42671219119183,359.30033775343145,304.36614961219277
000000013546.jpg,skateboard,3,510,209,40,50,640,425,880,584,701,287,55,69,450.43542144637297,225.66466319914383,618.553460147724,309.9793414732083,370.8708428927459,217.32932639828766,509.10692029544794,298.9586829464166,291.3062643391188,208.9939895974315,399.66038044317185,287.9380244196249,211.74168578549177,200.65865279657532,290.2138405908958,276.91736589283323
000000016439.jpg,wine glass,2,412,262,43,91,640,480,880,660,566,360,59,125,364.18657120601404,266.19911744073397,500.40760724546163,365.85483784891915,295.373142412028,225.39823488146794,405.81521449092327,309.70967569783835,226.55971361804205,184.5973523222019,311.22282173638496,253.5645135467575,157.74628482405603,143.79646976293589,216.6304289818466,197.41935139567667
000000018150.jpg,bottle,1,275,230,34,57,640,480,880,660,378,316,47,78,359.29427803012425,214.7393926949201,493.6067052860261,295.63672738075246,426.58855606024855,171.4787853898402,586.2134105720522,236.27345476150495,493.88283409037285,128.2181780847603,678.8201158580783,176.91018214225744,561.1771121204971,84.9575707796804,771.4268211441045,117.5469095230099
000000018380.jpg,vase,40,514,88,11,30,640,426,880,586,707,121,15,41,448.984597184621,141.70198145573713,617.809599251431,194.36109822548352,378.969194369242,180.40396291147425,521.6191985028621,247.72219645096703,308.9537915538631,219.10594436721135,425.4287977542931,301.0832946764506,238.9383887384841,257.8079258229485,329.23839700572415,354.44439290193407
000000019042.jpg,bird,1,308,165,21,40,640,371,880,510,424,227,29,55,398.0,185.0,536.3869910099908,303.1934955049954,478.0,184.99999999999997,634.7739820199815,352.38699100999077,558.0,184.99999999999997,733.1609730299722,401.58048651498615,638.0,184.99999999999997,831.547964039963,450.77398201998153
000000061268.jpg,person,2,54,276,25,57,640,424,880,583,74,380,34,78,141.21799869735355,276.75568551119477,194.2732063017739,381.1232939638193,216.43599739470707,249.51137102238957,297.5464126035478,343.2465879276386,291.6539960920606,222.26705653358437,400.8196189053217,305.3698818914579,366.87199478941415,195.02274204477914,504.09282520709564,267.4931758552772
000000063602.jpg,cup,2,415,228,37,68,640,425,880,584,571,314,51,94,359.84177953889196,229.62910599066015,495.40111284658866,316.5043383744527,286.68355907778397,197.25821198132033,394.8022256931773,272.0086767489053,213.52533861667592,164.88731797198048,294.203338539766,227.51301512335797,140.36711815556794,132.51642396264066,193.60445138635458,183.01735349781063
000000067616.jpg,fire hydrant,3,218,393,29,66,640,480,880,660,300,540,40,91,266.21347857500274,353.68514755738056,366.83767399628675,485.46994275789064,300.4269571500055,281.37029511476106,413.6753479925735,385.9398855157813,334.6404357250083,209.0554426721416,460.51302198886026,286.40982827367196,368.853914300011,136.74059022952213,507.350695985147,186.87977103156265
000000097994.jpg,mouse,6,442,327,32,28,640,427,880,587,608,450,44,38,399.34625383056334,286.5965252921167,549.3020117659236,394.24817932001343,340.6925076611267,232.19305058423345,468.60402353184713,319.49635864002687,282.03876149169,177.78957587635017,387.9060352977707,244.7445379600403,223.38501532225337,123.3861011684669,307.2080470636943,169.99271728005374
000000104669.jpg,knife,3,1,163,75,212,500,375,688,516,1,224,103,292,112.61308937953538,240.14022014565143,154.70423389394196,330.606595218762,187.22617875907076,211.28044029130282,257.4084677878839,291.213190437524,261.83926813860614,182.42066043695422,360.11270168182585,251.819785656286,336.4523575181415,153.56088058260565,462.81693557576784,212.426380875048
000000119445.jpg,baseball glove,5,420,280,33,33,640,426,880,586,578,385,45,45,370.9392404514808,249.44790480580093,510.413716756972,343.1697731893426,305.87848090296166,202.8958096116019,420.8274335139441,279.3395463786852,240.81772135444245,156.34371441740285,331.24115027091614,215.50931956802776,175.75696180592325,109.79161922320378,241.65486702788814,151.67909275737037
000000119516.jpg,bicycle,1,422,240,26,41,640,427,880,587,580,330,36,56,360.94599017171987,229.73444815713768,496.27208020088466,316.1499064117563,286.89198034343974,199.46889631427536,394.5441604017693,274.2998128235127,212.83797051515958,169.20334447141303,292.816240602654,232.44971923526901,138.78396068687942,138.9377926285507,191.08832080353858,190.59962564702536
000000120572.jpg,bench,1,469,266,41,16,640,427,880,587,645,366,56,22,413.75173774313276,246.83938462917808,569.5193803156517,339.69368217388296,338.50347548626553,219.67876925835617,466.03876063130326,302.387364347766,263.25521322939824,192.51815388753425,362.55814094695495,265.081046521649,188.006950972531,165.35753851671234,259.0775212626066,227.77472869553196
000000142238.jpg,sports ball,1,360,116,16,17,640,427,880,587,495,160,22,23,330.0248440498574,194.4122683242228,453.65995558389113,267.74977907220125,292.0496880997148,264.8245366484456,401.31991116778227,364.4995581444025,254.07453214957212,335.2368049726683,348.9798667516734,461.24933721660375,216.0993761994295,405.6490732968911,296.63982233556453,557.999116288805
000000186422.jpg,bird,1,499,276,64,72,640,427,880,587,686,380,88,99,458.57565658096064,278.0189099597872,630.4077673138329,382.2946770851078,386.1513131619213,244.03781991957442,530.8155346276658,335.5893541702157,313.7269697428819,210.05672987936163,431.2233019414988,288.8840312553235,241.30262632384256,176.07563983914886,331.6310692553317,242.17870834043137
000000203864.jpg,sports ball,5,112,156,13,10,640,491,880,675,154,214,18,14,191.86777357721922,191.717291982606,264.4624393599719,263.48968579695577,265.73554715443845,222.43458396521203,365.92487871994376,305.97937159391154,339.6033207316577,253.15187594781804,467.38731807991564,348.4690573908673,413.4710943088769,283.86916793042406,568.8497574398875,390.9587431878231
000000209530.jpg,tv,14,153,42,53,42,640,428,880,588,210,58,73,58,233.59925525912624,121.47154286615648,321.22062556923396,167.26118295273938,288.1985105182525,179.94308573231297,396.4412511384679,247.52236590547878,342.7977657773787,238.41462859846948,471.66187670770194,327.7835488582182,397.39702103650495,296.88617146462593,546.8825022769358,408.04473181095756
000000222299.jpg,cell phone,4,409,155,42,24,500,375,688,516,562,213,58,33,350.4893012261105,175.83452208598771,481.75041738507207,241.82687407219802,270.978602452221,184.66904417197546,372.5008347701441,254.65374814439605,191.4679036783315,193.50356625796317,263.25125215521615,267.48062221659404,111.95720490444205,202.3380883439509,154.00166954028816,280.3074962887921
000000224222.jpg,surfboard,4,230,164,74,31,640,426,880,586,316,226,102,43,334.3355265812541,222.19637554269133,460.06431696417303,305.6432682239994,401.6710531625082,265.39275108538266,553.1286339283461,364.28653644799886,469.00657974376236,308.5891266280739,646.1929508925191,422.9298046719982,536.3421063250164,351.78550217076526,739.257267856692,481.5730728959977
000000226417.jpg,fire hydrant,18,430,210,16,25,500,333,688,458,591,289,22,34,361.32914531309854,199.1618730719868,496.5942373738144,274.5416909991617,284.6582906261971,176.3237461439736,391.18847474762885,243.08338199832335,207.9874359392956,153.4856192159604,285.7827121214433,211.625072997485,131.31658125239414,130.64749228794722,180.3769494952577,180.1667639966467
000000281409.jpg,baseball glove,16,233,330,38,40,640,427,880,587,320,454,52,55,287.5677128600287,278.34151967905996,395.1934955049954,382.61300899000923,323.1354257200573,206.6830393581199,444.38699100999077,284.2260179800185,358.703138580086,135.02455903717987,493.5804865149861,185.83902697002776,394.2708514401146,63.36607871623983,542.7739820199815,87.45203596003705
000000331817.jpg,fork,4,296,180,37,45,640,480,880,660,407,248,51,62,326.4770058778409,281.0210372263255,449.04645457297335,387.6711479027049,338.95401175568173,360.04207445265104,466.09290914594663,496.3422958054098,351.43101763352263,439.0631116789766,483.13936371892,605.0134437081147,363.9080235113635,518.0841489053021,500.18581829189327,713.6845916108196
000000481390.jpg,sports ball,19,330,290,21,22,640,480,880,660,454,399,29,30,315.0759464662689,224.9816367221202,433.21494573814783,309.64483721444344,290.1518929325378,148.96327344424037,398.42989147629567,205.28967442888694,265.22783939880674,72.94491016636053,363.64483721444344,100.93451164333044,240.3037858650756,605.0734531115193,328.8597829525913,831.4206511422261
000000484351.jpg,spoon,6,152,328,32,27,640,426,880,586,209,451,44,37,229.19289584936408,289.46914033737767,315.1402317928756,398.14506796389423,290.38579169872816,237.93828067475528,399.28046358575125,327.29013592778847,351.57868754809226,186.40742101213291,483.4206953786268,256.43520389168276,412.7715833974563,134.87656134951055,567.5609271715025,185.580271855577
000000491008.jpg,potted plant,22,35,188,48,58,640,427,880,587,48,258,66,80,138.99060660763206,215.77409032018954,190.98933279542257,296.468115142125,218.98121321526412,214.5481806403791,300.97866559084514,294.93623028425003,298.9718198228962,213.32227096056863,410.9679983862677,293.404345426375,378.96242643052824,212.09636128075817,520.9573311816903,291.87246056850006
000000507473.jpg,toothbrush,1,291,148,61,43,640,480,880,660,400,204,84,59,319.87335117962226,248.9920662468194,439.73244070960624,342.9766255840965,318.7467023592445,328.9841324936388,437.4648814192125,452.95325116819305,317.6200535388668,408.9761987404582,435.19732212881877,562.9298767522896,316.49340471848905,488.9682649872776,432.929762838425,672.9065023363861
000000509258.jpg,bench,1,111,336,32,27,640,428,880,588,153,462,44,37,192.5545068890939,303.1458112433799,265.0356304200562,416.8051801579983,258.1090137781878,257.2916224867598,355.07126084011236,353.61036031599656,323.66352066728166,211.4374337301398,445.10689126016854,290.41554047399484,389.2180275563755,165.5832449735197,535.1425216802247,227.22072063199315
000000572900.jpg,frisbee,4,345,200,43,20,640,480,880,660,474,275,59,28,298.99115225291087,253.70142244375378,410.8046514140493,349.00014749244406,231.98230450582173,297.40284488750757,318.60930282809863,409.00029498488817,164.97345675873257,341.1042673312613,226.413954242148,469.0004424773323,97.96460901164346,384.80568977501514,134.21860565619733,529.0005899697763
000000577932.jpg,traffic light,12,82,141,28,41,640,543,880,747,113,194,38,56,167.8087968695713,196.26324846273593,230.76879426521873,270.42236342223384,239.6175937391426,231.52649692547183,329.53758853043746,318.84472684446774,311.42639060871386,266.78974538820773,428.3063827956562,367.26709026670164,383.2351874782852,302.05299385094366,527.0751770608749,415.6894536889355
000000579635.jpg,surfboard,3,463,304,34,12,640,429,880,590,637,418,47,16,411.4005659429965,268.8403395657979,565.4867752481437,369.72167071594004,342.80113188599296,227.68067913159575,470.9735504962872,313.4433414318801,274.2016978289894,186.52101869739366,376.4603257444308,257.1650121478202,205.60226377198586,145.36135826319153,281.9471009925744,200.88668286376026
000000009590.jpg,bottle,1,427,228,24,49,640,427,880,587,587,314,33,67,362.97853691800987,227.08540285548222,498.5809534129547,312.40718702024265,286.95707383601973,202.17080571096443,394.1619068259094,277.8143740404853,210.93561075402963,177.25620856644667,289.7428602388641,243.221561060728,134.91414767203952,152.3416114219289,185.3238136518188,208.62874808097064
000000255165.jpg,cup,2,421,374,40,42,640,480,880,660,579,514,55,58,391.77216525741426,331.93955053635705,538.3819636900115,456.23709798778583,342.54433051482846,268.8791010727141,470.763927380023,369.47419597557166,293.31649577224266,205.81865160907117,403.1458910700345,282.7112939633575,244.08866102965692,142.7582021454282,335.527854760046,195.94839195114332
